SOVEREIGNT,ISO_A3,ADM0_A3,SUBREGION,REGION_UN,REGION_WB,CONTINENT
Indonesia,IDN,IDN,South-Eastern Asia,Asia,East Asia & Pacific,Asia
Malaysia,MYS,MYS,South-Eastern Asia,Asia,East Asia & Pacific,Asia
Chile,CHL,CHL,South America,Americas,Latin America & Caribbean,South America
Bolivia,BOL,BOL,South America,Americas,Latin America & Caribbean,South America
Peru,PER,PER,South America,Americas,Latin America & Caribbean,South America
Argentina,ARG,ARG,South America,Americas,Latin America & Caribbean,South America
United Kingdom,-99,GB1,Northern Europe,Europe,Europe & Central Asia,Europe
Cyprus,CYP,CYP,Western Asia,Asia,Europe & Central Asia,Asia
India,IND,IND,Southern Asia,Asia,South Asia,Asia
China,-99,CH1,Eastern Asia,Asia,East Asia & Pacific,Asia
Israel,-99,IS1,Western Asia,Asia,Middle East & North Africa,Asia
Lebanon,LBN,LBN,Western Asia,Asia,Middle East & North Africa,Asia
Ethiopia,ETH,ETH,Eastern Africa,Africa,Sub-Saharan Africa,Africa
South Sudan,SSD,SDS,Eastern Africa,Africa,Sub-Saharan Africa,Africa
Somalia,SOM,SOM,Eastern Africa,Africa,Sub-Saharan Africa,Africa
Kenya,KEN,KEN,Eastern Africa,Africa,Sub-Saharan Africa,Africa
Malawi,MWI,MWI,Eastern Africa,Africa,Sub-Saharan Africa,Africa
United Republic of Tanzania,TZA,TZA,Eastern Africa,Africa,Sub-Saharan Africa,Africa
Syria,SYR,SYR,Western Asia,Asia,Middle East & North Africa,Asia
Somaliland,-99,SOL,Eastern Africa,Africa,Sub-Saharan Africa,Africa
France,-99,FR1,Western Europe,Europe,Europe & Central Asia,Europe
Suriname,SUR,SUR,South America,Americas,Latin America & Caribbean,South America
Guyana,GUY,GUY,South America,Americas,Latin America & Caribbean,South America
South Korea,KOR,KOR,Eastern Asia,Asia,East Asia & Pacific,Asia
North Korea,PRK,PRK,Eastern Asia,Asia,East Asia & Pacific,Asia
Morocco,MAR,MAR,Northern Africa,Africa,Middle East & North Africa,Africa
Western Sahara,ESH,SAH,Northern Africa,Africa,Middle East & North Africa,Africa
Costa Rica,CRI,CRI,Central America,Americas,Latin America & Caribbean,North America
Nicaragua,NIC,NIC,Central America,Americas,Latin America & Caribbean,North America
Republic of the Congo,COG,COG,Middle Africa,Africa,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,COD,COD,Middle Africa,Africa,Sub-Saharan Africa,Africa
Bhutan,BTN,BTN,Southern Asia,Asia,South Asia,Asia
Ukraine,UKR,UKR,Eastern Europe,Europe,Europe & Central Asia,Europe
Belarus,BLR,BLR,Eastern Europe,Europe,Europe & Central Asia,Europe
Namibia,NAM,NAM,Southern Africa,Africa,Sub-Saharan Africa,Africa
South Africa,ZAF,ZAF,Southern Africa,Africa,Sub-Saharan Africa,Africa
Netherlands,-99,NL1,Western Europe,Europe,Europe & Central Asia,Europe
Oman,OMN,OMN,Western Asia,Asia,Middle East & North Africa,Asia
Uzbekistan,UZB,UZB,Central Asia,Asia,Europe & Central Asia,Asia
Kazakhstan,KAZ,KAZ,Central Asia,Asia,Europe & Central Asia,Asia
Tajikistan,TJK,TJK,Central Asia,Asia,Europe & Central Asia,Asia
Lithuania,LTU,LTU,Northern Europe,Europe,Europe & Central Asia,Europe
Brazil,BRA,BRA,South America,Americas,Latin America & Caribbean,South America
Uruguay,URY,URY,South America,Americas,Latin America & Caribbean,South America
Mongolia,MNG,MNG,Eastern Asia,Asia,East Asia & Pacific,Asia
Russia,RUS,RUS,Eastern Europe,Europe,Europe & Central Asia,Europe
Czechia,CZE,CZE,Eastern Europe,Europe,Europe & Central Asia,Europe
Germany,DEU,DEU,Western Europe,Europe,Europe & Central Asia,Europe
Estonia,EST,EST,Northern Europe,Europe,Europe & Central Asia,Europe
Latvia,LVA,LVA,Northern Europe,Europe,Europe & Central Asia,Europe
Norway,-99,NOR,Northern Europe,Europe,Europe & Central Asia,Europe
Sweden,SWE,SWE,Northern Europe,Europe,Europe & Central Asia,Europe
Finland,-99,FI1,Northern Europe,Europe,Europe & Central Asia,Europe
Vietnam,VNM,VNM,South-Eastern Asia,Asia,East Asia & Pacific,Asia
